1175	['709', '709', '590', '484', '336']
1183	['709', '172', '709', '399', '590', '460']
1144	['655', '128', '63', '573']
1162	['709', '704', '172', '709', '590', '313']
1145	['268', '687', '45', '204', '359', '359']
344	['24']
345	['606']
346	['442', '309', '406', '528', '321']
347	['412', '128', '133']
340	['466', '322', '322', '500']
341	['466', '213', '528']
342	['58', '632', '251', '460']
343	['585', '547', '548', '651', '651']
810	['547', '548', '62', '729', '729']
811	['489']
812	['197', '239']
813	['21', '313', '478', '714', '321']
348	['311', '235', '267', '350']
349	['228', '440', '253', '163']
816	['91', '573']
817	['606', '98', '375']
595	['58', '111', '28']
1149	['319', '462', '662']
719	['741']
718	['134', '370', '45']
717	['545', '370', '479']
716	['15', '267', '563']
715	['7', '132', '244', '374']
714	['549', '282', '546', '22']
713	['127', '341', '359', '359']
712	['268', '62', '69', '204']
711	['549', '214', '290']
710	['62', '412', '651', '651']
915	['52', '344', '209', '679']
1103	['709', '709', '563', '590', '546']
606	['704', '684', '374', '385']
917	['388', '91', '24']
594	['209', '439', '359', '359']
736	['29', '714']
916	['545', '328']
1182	['665', '528', '321']
1061	['202', '612', '52', '514']
911	['585', '295', '328', '239']
1063	['69', '63', '217', '133']
1062	['58', '84']
1065	['535', '514']
1064	['121', '618', '632', '546']
619	['45', '432']
910	['585', '442', '199', '98', '328']
298	['443', '412', '651', '731', '651']
299	['611', '535', '651', '651']
296	['615', '313', '359', '359']
297	['399', '374', '439']
294	['290', '454']
295	['462', '239']
292	['411', '436', '188', '318']
293	['322', '322', '333', '514', '359', '333', '359']
290	['352', '172', '209', '192']
291	['585', '377', '327']
591	['325', '309', '313', '209']
590	['115', '355', '217', '359', '359']
593	['737', '322', '322', '204', '737']
592	['709', '180', '132', '709', '590', '478']
199	['457', '618', '202', '359', '359']
198	['62', '29']
597	['651', '651']
1080	['15', '549', '341', '615']
195	['737', '692', '45', '651', '737', '651']
194	['395', '731']
197	['26', '295', '132', '675']
196	['709', '709', '631', '344', '333', '79', '333']
191	['585', '476', '297', '386', '297']
190	['115', '172', '386', '91']
193	['282', '651', '651', '22']
192	['615', '209', '459', '457']
270	['618', '21', '514']
271	['528', '462']
272	['127', '747', '459', '29']
273	['26', '111', '192', '675']
274	['375', '239']
275	['717', '454', '238', '492', '478']
276	['360', '458']
277	['615']
278	['15', '407']
279	['213', '565', '528', '117']
738	['632', '374', '439', '359', '359']
1067	['565', '528', '117']
524	['202']
525	['108', '147', '375']
526	['251', '328']
527	['466', '618', '313', '359', '359']
520	['295', '632', '359', '359']
521	['669', '213', '528']
522	['655', '62', '573']
523	['202']
1014	['606', '377', '192']
1015	['7', '29']
599	['108', '714']
1017	['15', '709', '709', '590', '355', '321']
528	['308', '436', '188', '321', '576']
529	['546']
994	['118', '560']
1013	['585', '19', '98']
1025	['15', '669', '632', '439', '359', '359']
449	['33']
448	['466', '553']
443	['704', '309', '313', '359', '359']
442	['84']
441	['709', '457', '709', '359', '359']
1066	['549', '457', '313', '359', '359']
447	['466', '709', '33', '709', '590', '478']
446	['240', '445', '9', '462']
445	['737', '549', '412', '651', '737', '651']
444	['19', '322', '322', '365', '333', '333', '458']
108	['344', '62', '239']
109	['236', '412', '106']
1135	['487', '63', '560', '577']
102	['268', '128', '204', '662']
103	['63', '553']
100	['737', '84', '615', '737', '514']
101	['438', '308', '445', '481']
106	['547', '709', '709', '181', '548', '333', '333']
107	['344', '238']
104	['295', '321', '239', '385']
105	['315', '328']
902	['395', '686', '347', '385']
903	['28', '24', '577', '707']
39	['370', '202', '632', '321', '385']
38	['709', '363', '709', '590', '632']
906	['134', '318', '434', '539']
907	['347', '123']
905	['709', '549', '236', '709', '399']
33	['315', '204', '328']
32	['664']
31	['489']
30	['437']
37	['747', '478', '532']
36	['618', '481']
35	['172', '563', '313', '359', '359']
34	['33', '341', '632', '359', '359']
641	['437', '327', '492']
640	['213', '528']
643	['244', '574', '613', '4']
642	['692', '535', '313', '651', '651']
645	['89', '500', '548']
644	['659', '305']
438	['323', '627', '209', '574', '603']
439	['347', '631', '333', '333', '385']
436	['127', '747', '563', '297', '297']
437	['437', '557', '489']
435	['235', '128', '147']
432	['386', '91']
433	['124', '282', '318', '22', '392']
430	['585', '58', '224']
431	['365', '412', '573']
1156	['476', '341', '359', '344', '359']
1002	['311', '209', '664']
339	['737', '651', '737', '651']
338	['7']
335	['563', '202', '111']
334	['585', '123', '629']
337	['132', '618', '108', '305']
336	['709', '709', '60', '484', '359', '359']
331	['692']
330	['717', '747', '192', '350']
333	['352', '108', '251']
332	['322', '322', '500', '548']
1120	['709', '709', '590', '632', '305', '714']
744	['235', '687', '546', '72']
1000	['89', '500', '548']
745	['323', '199', '359', '359']
854	['704', '297', '297', '483', '689']
818	['115']
856	['352', '665']
857	['545', '347', '746']
851	['313', '217', '359', '359']
852	['606', '454']
819	['585']
858	['268', '204']
859	['436', '576', '603', '22']
748	['720', '596']
6	['15', '412', '484', '359', '359']
1150	['476', '399', '184', '536', '129']
900	['454', '440', '79']
848	['577']
99	['737', '651', '737', '731', '651']
98	['224']
844	['132', '535']
1085	['411', '436', '188']
91	['323', '344', '62', '565']
90	['611', '477', '478']
93	['128', '560', '458']
92	['282', '514', '22', '392']
95	['438', '669', '308']
94	['466', '406']
97	['732']
96	['15', '737', '106', '651', '737', '651']
1030	['692']
