1	239
3	99
4	151
5	251
7	178
9	281
12	68
15	22
17	108
19	160
20	272
21	72
22	122
24	23
26	113
27	151
28	145
29	215
31	151
33	212
36	17
39	317
42	185
45	179
47	107
50	261
51	52
52	304
53	36
58	157
59	196
60	127
62	87
63	31
64	107
65	285
68	180
69	62
72	21
74	159
77	69
79	14
80	292
81	174
84	143
86	225
87	133
89	159
90	230
91	43
92	0
93	248
96	134
98	4
99	57
100	137
102	90
103	126
106	188
107	296
108	105
109	104
110	62
111	153
115	97
116	52
118	110
121	41
123	170
124	297
125	0
127	127
128	87
129	118
131	329
132	320
133	27
134	160
136	132
138	20
140	311
142	141
144	165
145	233
147	73
149	292
150	276
155	195
158	71
160	2
161	226
163	82
165	105
168	242
169	160
170	0
172	257
175	166
177	17
180	48
181	18
184	76
188	39
192	26
194	292
197	11
199	239
202	167
204	54
205	199
209	230
211	75
213	282
214	241
216	159
217	146
222	195
223	170
224	18
228	237
235	195
236	74
237	57
238	232
239	133
240	329
241	255
243	75
244	320
249	133
251	230
253	146
256	266
259	111
260	153
263	20
267	116
268	54
269	255
275	133
276	186
277	272
281	110
282	122
283	71
286	56
290	153
292	316
294	0
295	145
297	172
298	226
302	192
305	67
308	304
309	300
310	199
311	241
312	237
313	188
315	232
318	269
319	238
321	276
322	0
323	44
324	189
325	48
327	98
328	212
332	112
333	0
335	281
336	28
338	199
341	257
342	0
344	248
345	171
347	19
349	251
350	88
351	325
352	182
355	83
358	268
359	190
360	124
362	122
363	189
365	192
370	318
372	39
374	168
375	185
377	323
378	207
383	255
385	245
386	201
388	15
394	77
395	241
396	330
399	293
401	14
406	317
407	239
408	21
409	56
410	21
411	56
412	27
414	141
416	169
419	53
422	226
423	225
427	320
429	296
431	317
432	54
433	61
435	228
436	297
437	132
438	323
439	61
440	171
442	300
443	90
444	75
445	88
448	163
452	330
454	290
457	46
458	276
459	7
460	71
462	238
463	188
466	266
467	97
474	189
476	254
477	233
478	33
479	329
481	259
482	294
483	218
484	30
487	78
488	267
489	43
492	101
494	139
495	29
496	122
498	68
500	137
501	137
502	259
503	273
514	292
516	194
519	141
522	199
528	282
532	245
533	320
535	174
536	118
543	239
545	228
546	227
547	8
548	107
549	77
553	85
554	19
555	215
557	187
558	106
560	54
563	261
565	273
566	226
572	267
573	296
574	85
576	68
577	196
579	284
580	1
581	254
583	304
585	97
587	304
590	39
593	20
596	30
603	85
605	196
606	180
610	179
611	251
612	205
613	202
614	33
615	134
616	226
618	4
620	71
621	257
624	284
627	112
628	18
629	104
630	69
631	225
632	134
640	27
641	196
651	246
655	50
656	0
659	180
660	126
662	248
664	196
665	323
666	57
669	224
673	108
675	76
679	282
684	261
686	77
687	43
689	36
692	330
704	318
707	196
709	56
711	320
713	56
714	67
717	182
718	202
720	95
721	153
724	318
729	0
731	228
732	68
733	106
734	112
736	311
737	119
740	159
741	196
746	218
747	166
