Class Times	85
Rooms	50
1	408
2	742
3	480
4	753
5	643
6	863
7	220
8	581
9	127
10	704
11	513
12	179
13	433
14	904
15	124
16	635
17	514
18	435
19	75
20	336
21	503
22	517
23	916
24	182
25	515
26	654
27	31
28	993
29	415
30	841
31	337
32	882
33	693
34	105
35	700
36	698
37	871
38	567
39	21
40	523
41	783
42	903
43	858
44	907
45	849
46	880
47	257
48	453
49	63
50	863
Classes	2000
Teachers	1000
1	165
2	130
3	576
4	46
5	553
6	610
7	632
8	509
9	876
10	850
11	709
12	180
13	542
14	40
15	850
16	715
17	208
18	12
19	952
20	341
21	493
22	812
23	190
24	541
25	122
26	905
27	500
28	879
29	856
30	188
31	166
32	347
33	224
34	141
35	532
36	913
37	243
38	679
39	748
40	749
41	127
42	712
43	839
44	344
45	716
46	660
47	595
48	898
49	866
50	923
51	348
52	219
53	685
54	153
55	387
56	661
57	923
58	404
59	994
60	408
61	342
62	419
63	19
64	734
65	992
66	276
67	858
68	486
69	401
70	20
71	287
72	408
73	854
74	985
75	3
76	445
77	792
78	106
79	955
80	699
81	672
82	288
83	726
84	355
85	145
86	748
87	775
88	814
89	514
90	352
91	239
92	377
93	80
94	328
95	126
96	489
97	204
98	965
99	946
100	593
101	822
102	91
103	403
104	533
105	394
106	407
107	530
108	966
109	150
110	236
111	199
112	60
113	350
114	623
115	60
116	362
117	499
118	83
119	629
120	259
121	72
122	940
123	207
124	986
125	862
126	157
127	841
128	221
129	251
130	750
131	428
132	755
133	215
134	305
135	872
136	319
137	30
138	230
139	680
140	119
141	380
142	273
143	545
144	846
145	723
146	398
147	829
148	578
149	601
150	549
151	12
152	155
153	419
154	557
155	414
156	681
157	602
158	620
159	883
160	332
161	896
162	421
163	845
164	606
165	602
166	264
167	636
168	499
169	369
170	63
171	519
172	539
173	885
174	124
175	246
176	396
177	129
178	788
179	771
180	793
181	411
182	569
183	272
184	666
185	652
186	606
187	675
188	773
189	784
190	381
191	300
192	539
193	178
194	152
195	15
196	82
197	596
198	496
199	486
200	882
201	878
202	643
203	677
204	396
205	997
206	724
207	64
208	231
209	747
210	824
211	787
212	797
213	629
214	734
215	695
216	287
217	4
218	148
219	533
220	79
221	932
222	932
223	95
224	538
225	338
226	551
227	386
228	454
229	873
230	439
231	770
232	128
233	675
234	360
235	806
236	158
237	820
238	799
239	374
240	135
241	754
242	393
243	643
244	700
245	18
246	817
247	37
248	112
249	905
250	625
251	329
252	876
253	887
254	188
255	217
256	80
257	70
258	156
259	659
260	210
261	151
262	120
263	69
264	153
265	303
266	332
267	448
268	198
269	612
270	245
271	72
272	638
273	670
274	41
275	557
276	569
277	267
278	495
279	653
280	754
281	749
282	148
283	860
284	815
285	323
286	454
287	864
288	95
289	666
290	995
291	501
292	383
293	583
294	979
295	735
296	561
297	945
298	671
299	411
300	258
301	645
302	456
303	791
304	778
305	257
306	507
307	168
308	296
309	189
310	362
311	958
312	866
313	441
314	241
315	812
316	736
317	735
